molecule,smiles,validity,unique,novelty
<rdkit.Chem.rdchem.Mol object at 0x7f57c3389a30>,CC[CH]SC[CH]SC,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c3389990>,C,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c3389850>,CCC[Si]CC(C=O)OC,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c33898f0>,CC[Si](Cl)CCl,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c3389580>,CC(CCF)C1CC(C#N)C1C,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c3389670>,CC[CH]CCF,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c33893a0>,CCC1=C/C(=C2/C=CN(C)C=C2O)C=CN1C,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c3389490>,COS(=O)CCOC=O,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c33892b0>,C[CH][Mg]C[Si](C)(P)OC(C)(OCCC)C(C#N)C=O,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c33890d0>,CCCC(Cl)(Cl)OOON(C)OC,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c3389f30>,C[SiH](CCl)PCC(C)(C=O)C=O,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c3389e40>,CC(=O)C1COC2COC(=O)C2(CC=O)C1,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c3389d50>,COCC(C)N(C)CPC(=O)OC=O,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c3389c60>,CCOCCCS(=O)(=O)SP(SC)N(C)C,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c33891c0>,COF,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c3389a80>,CC(CCO[SiH3])C([SiH3])C=O,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c3389b70>,COCS(=O)(=O)C1C(=O)C(C)C12COC(=O)OC2,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c33899e0>,C[Al]OS(C)=O,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c33898a0>,CC12CC1CC1COCCCCCS(=O)(=O)C12,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c3389760>,CCC(=O)C1C(OC(=O)OCCC=O)CCN1C,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c33897b0>,COS(=O)(=O)CC(=O)O[CH]F,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c33896c0>,CCCC1C(Cl)C(OC(C)=O)CCC1(C)SC,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c3389940>,CC(=O)N(P)C1=CSC([C]2S[CH][C@@H](C)S2)=[S]1,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c33894e0>,COC(=O)C(OS(C)(=O)=O)C(C)(F)F,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c33895d0>,BCOCCCCC,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c33893f0>,CN1CCN(C)[C@](C)([C][N][Al](C)C)C1,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c3389210>,CCC(CC)C[Si]OC(C)=O,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c3389120>,CCC1(C)OOP(Cl)OOP1C,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c3389030>,CCOC(CC=O)CCN(C)C(CC)CN(C)C,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c3383f80>,CCCOS(=[SiH2]C)[SiH](C)CC,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c3389300>,COC(CC(=O)NC[CH][CH][C]1C[CH][C]2CCCC[C]12)C(Cl)(Cl)Cl,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c3383da0>,CN1C=C(N(C)C)N(C)[C@@H](c2ccccc2)C1,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c3383cb0>,CCCCCCB[Si]C(C=O)CCC,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c3383bc0>,COS(=O)C1(C)CC(CC[SiH3])C1,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c3383ad0>,CSC1N(C)C2CC34CC3C3C4CC31C2=O,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c33839e0>,CCOC(CC1(CC=O)CO1)C1CC1,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c33838f0>,COSOC(CF)COS(C)(OC)OC,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c3383e90>,CN(C)CC(C=O)C12CC1C(C1CN(C)C1)N(C)S2(=O)=O,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c3383800>,CC(=O)C(C#N)(CS(=O)(=O)CC#N)C1CC1C,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c3383620>,C[SiH]C1=CC[B]C[B][C@H]1C,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c3383710>,CC1CS(=O)(=O)N2CS(=O)(=O)CC[BrH]OCC12,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c3383440>,[CH][Cl+]CN1OOCCC1CC(Cl)CCSC,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c3383350>,CNC1=CCC(OCl)=CS1,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c3383260>,CC1COC(=O)OCSC1CCN(CP=O)C1CC1,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c3383170>,CCCC(=O)CCC(=O)C(C)C#N,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c3383530>,CCC(C=O)C(C[Si])C(Cl)Cl,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c3383ee0>,CCN(CCCB(Cl)Cl)OC(=O)OC,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57eaaccbc0>,CSC1COS(=O)(=O)C2([CH][CH]S2)OC1=O,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c3383df0>,CC12C=C(OCCOC(=O)O1)OCS(=O)(=O)C2,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c3383d00>,C#[ClH]PC,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c3383b20>,CCC12C3CC4C1C1COC42C1N3,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c3383c10>,CCCN1CCC(OC(C2C[PH]2=O)=[PH](C)=O)CC1,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c3383a30>,CC(CC(CBr)N(C)C)C1CC(C)(CN(C)C)OCN1C,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c3383850>,CCN(C)SCOC(=O)OC(C)(C)C,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c3383940>,COC1(C)CC2(C#N)OC(=O)OCC1CC1CC2C1[S],0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c3383760>,CC1(C)OCCN[C]2C1N[C@@]2(C)[N+](=O)[O-],0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c3383670>,CNS(=O)(=O)SC,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c3383490>,COC(=O)OC1OCCC2N1CC1C[SiH]12,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c3383580>,CCOCl,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c33833a0>,C[B]CN(C)CCCCCC,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c33831c0>,CCN(C)C1C2COC(=O)OCC21N(C)C,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c33830d0>,CCBSB(OC(C)(C)C)C(C)CC,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c33832b0>,CC12COC(=O)C13C1N2C12OCS(=O)(=O)CN23,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57ca134850>,CC(=O)S(=O)(=O)CCCCOCC#N,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57ca134670>,CCc1ccsc1OC,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57ca134f30>,COCC12OC(=O)OC(C)C1N(C)C2CC#N,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57ca134e40>,CCC1(F)C(F)(C(F)F)CS1(=O)=O,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57ca134d50>,CCSCCCCN(C)CCC=O,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57ca1346c0>,COOC(CCC(C[SiH](C)C)[SiH](C)C)C(C)=O,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57ca134c60>,CS1(C=O)CCC1=O,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57ca134530>,COC(=O)OC(C)CN1CCN(CC(C)N(C)C)C1,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57ca134210>,CCC(=O)OCS(=O)(=O)CCC(=O)OC,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57ca134ad0>,CC(C#N)SC(F)F,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57ca1340d0>,CNN1Oc2cccc(C)c2O1,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57ca134120>,CC1COCC2C(C1CCC=O)C21CC1,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57ca134030>,C[Si](C[C@]12S[C@@H]3[Si]1[C@@H]2[CH2:1]3)[Si]=[Si],0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57ca134800>,CSC1(C)CC1(SC)SC,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57ca1341c0>,CCC[C@@H](C)[N][CH]PCC1=C(C)C(C)CC1=O,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57ca134e90>,COB(OCN1C2CCC(OS2)C1C)SC,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57ca134da0>,CCN1CC2COCCOC(=O)OC(C)C2C1,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57ca134cb0>,C#SSC(C)(C(C)=O)C(C#N)C(C)CSSC,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57ca134f80>,CSC(=O)SC1CSC(C)C1OC(=O)C(C)(C)C#N,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57ca134b20>,CCN(C)CCN(C)CCCOCCOCCl,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57ca134a80>,COC(=O)C1CSCC1CC=O,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c33b1030>,C#Cc1c[nH]cc1N=C[SiH]=O,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c33b1080>,CCCOC(=O)C[SiH3],0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57ca134bc0>,CCSC(CSC1(C(=O)C(C)C)CC1F)CC(=O)F,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c33b10d0>,CCSC=O,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c33b1120>,COS(=O)(=O)N(C)C12COC(=O)OC(C)(C1)C2,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c33b1170>,CCO[ClH][O],0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c33b1210>,CCCC1C(=O)S(=O)(=O)CCN1CCl,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c33b11c0>,C[Si]CCCCO[Si],0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c33b12b0>,CC[C@@]1(OC)CSCCS1,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c33b1260>,C[B]C12C(OCCCCC)OC(=O)C1CS2(=O)=O,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c33b1350>,CCCCS(=O)CS(C)(=O)=O,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c33b1300>,CCC(C1OC(=O)C1OC#N)C(C)S(=O)(=O)OC,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c33b13f0>,CCN(CC(=O)N(C)C)OC(=O)OC(C)C,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c33b13a0>,CC(COC1(C=O)CC1C)C(C)C(F)(C=O)CCCC=O,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c33b1490>,CC(=O)S(C)(=O)=O,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c33b14e0>,[B]OCC(C[C][CH]COPC)OSC,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c33b1440>,C[ClH]CSC[B]Cl,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c33b1530>,CCC(C#N)(C=O)C(=O)C(COC(=O)OC)OC,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c33b15d0>,CC[CH]BCCC(Cl)(Cl)CCl,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c33b1620>,CCCOB(OC)OOC(CCC)OBCO,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c33b1670>,CCC1S[Al][C][P]1(O)OC(C)O,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c33b16c0>,CCC(C)(F)CSCCCCS(C)(=O)=O,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c33b1580>,CCCBN(BCCCC)CC,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c33b1710>,CS(=O)C(F)CCl,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c33b17b0>,CSB(BBCCCC[Si][Si]Br)SC,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c33b1760>,COC,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c33b1850>,C[ClH][CH]OC1OP[SiH2]1,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c33b1800>,COCCCS(=O)(=O)C(C(=O)O[Si])C(C)C,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c33b18a0>,CC[SiH][Si](SC)P(C)[Si](C([Si]C)N(C)C[C:7])[Si](C)C,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c3383080>,CCSC1(C)CC(CCN2C(CC)CCC2(C)C)CC1=O,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c33b1990>,CC1CC2C3CS(=O)(=O)C1(C=O)C23C,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c33b19e0>,CC(=O)OCCC(C)OCOC(=O)OC(C)C,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c33b1a30>,COC1SCC2C1OCC2(C)OC,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c33b1940>,CNCP=[PH]=P,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c33b1a80>,COSCC(CC(=O)N1CCOC(C(=O)F)C1)N=O,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c33b1ad0>,CCCOP(Cl)OC,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c33b1b70>,CCSC([CH]OOC)C1SCC(OC=O)S1,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c33b1bc0>,CSC[PH](C)(SC)[Si](C)(C)CP[Si],0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c33b1b20>,CCC(CN(CC)CC)OC,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c33b1c10>,CCS(=O)(=O)C(=O)C12CC(NP1(C)=O)S(=O)(=O)C2,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c33b1c60>,CCCCCO[Si](CC)[N]COB(CC)C(F)C(C)C,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c33b1d00>,CC1CC2CCCC2C1C#N,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c33b1cb0>,CCC(C1COC1)C(C(C)OC(C)=O)S(=O)(=O)N(C)C,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c33b1d50>,[CH]C,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c33b1da0>,C#S[SiH3],0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c33b1df0>,CC1OC(=O)OC(CN(C(C)C)C(C)N(C)OC=O)C1C,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c33b1e40>,COC(C)CS(=O)(=O)C1C(CCS(=O)(=O)OC)N1C,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c33b1ee0>,CCCC1CB1[SiH2],0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c33b1f30>,COS(=O)C1CC12CCN(C(C)=O)C(C)C2,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c33b1f80>,CCS(CC1CC(=O)S(=O)(=O)C1)(OC)OC,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c33ba030>,COCCON1Oc2cccc(C#N)c2O1,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c33b1e90>,C[C]=C(OC)C1C(CC(=O)OC)OC(CCCC)C1CN,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c33ba0d0>,CCOC1(C=O)CSC1[Si],0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c33ba120>,CSSOC1CCS(=O)(=S)CC1,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c33ba170>,CC(F)S(=O)(=O)CCCF,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c33ba1c0>,CCC([Si]Cl)[Si]Cl,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c33ba210>,CNc1cc([Al])sc1[AlH2],0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c33ba260>,CCC1(F)CCOC1C(C)COC1CC2[Si]SC12,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c33ba080>,CCCC(=O)OCl,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c33ba2b0>,CCC(C#N)(OCOC(=O)OC)C(=O)C(C)C[O-],0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c33ba350>,CCC(CC(C)C=O)S(=O)(=O)CCC(C)CCl,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c33ba3a0>,CCCN(C)CC1CC#[SH](F)OC1,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c33ba3f0>,CCB(Cl)OC1CCB2C[SiH2]CC2B1C,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c33ba440>,CCCOO[SiH]O[Si](C)(C)O[SiH2]OOC,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c33ba300>,CSCCC=O,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c33ba490>,CCCOB(CC)O[Si],0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c33ba4e0>,CC(F)CC1CC2CC1C(O[Si](C)(C)C)([Si]#Cl)C2,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c33ba530>,CCCS(=O)(=O)C(=O)C(CC(C)(Cl)C=O)C(C)C[Al],0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c33ba5d0>,CCC(C)SCC(C#N)C(CC)C(C)(C)C,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c33ba580>,COS(=O)(=O)C(=O)C(=O)OCCC1(C)CC1C,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c33ba670>,COCN1C=CBB1c1ccccc1,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c33ba620>,COCOS(=O)C=O,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c33ba710>,CCCC(C#N)C(CCC)S(=O)(=O)OC#CF,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c33ba6c0>,COCC1(N[SiH2]OC)C2CC[PH](=O)CC1(C)ON2C,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c33ba760>,COSC(F)(F)C(C)S(=O)(=O)CCCC(C)C[O],0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c33ba800>,CCC(C=O)C1(C#N)C(C=O)C1(C)C=O,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c33ba850>,C[C@H]1CCCC1=O,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c33ba7b0>,CCS(=O)(=O)CC1(C)N(C)C2C[SiH]1S([O])(F)C2,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c33ba8f0>,COC(=O)OP(=O)(OCP(C)C)SCOC=O,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c33ba940>,[C]CC1C2=C[C@H]1C(C)=CCC[B]C2,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c33ba990>,CC1COCOC(=O)OC12OC(=O)OC2C=O,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c33ba9e0>,CCNC(CCCCN(C)C)CC(C)(C)F,0.406,0.984,0.976
